the_geom,SCHOOL_ID,SCHOOL_NM,SCH_ADDR,GRADE_CAT,GRADES,SCH_TYPE,X,Y
POINT (-87.74112862663965 41.938988427629674),400162,INTRINSIC CHTR,"4540 W Belmont Ave, 60641",HS,"7, 9, 10",Charter,-87.7411286265,41.9389884289
POINT (-87.63996733091673 41.79355626721791),400163,KIPP CHTR - BLOOM,"5515 S Lowe Ave, 60621",ES,"5, 6",Charter,-87.6399673312,41.793556268
POINT (-87.68590261126784 41.84595667350128),400164,INSTITUTO CHTR - RUDY LOZANO,"2520 S Western Ave, 60608",HS,12,Charter,-87.685902611,41.8459566743
POINT (-87.70270389850388 41.8874127029833),400165,LEARN CHTR MIDDLE SCHOOL,"3021 W Carroll Ave, 60612Â",ES,"6, 7, 8",Charter,-87.7027038987,41.8874127034
POINT (-87.68396339328174 41.79520095247124),400167,HSA CHTR - SW CHICAGO,"5401 S. Western, 60609",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.6839633929,41.7952009535
POINT (-87.76980777391003 41.92563027059191),400169,NOBLE CHTR - ITW DAVID SPEER,"2456 N. Mango Ave., 60639",HS,9,Charter,-87.7698077738,41.9256302718
POINT (-87.62774252685402 41.882152483252696),400170,NOBLE CHTR - ACADEMY,"17 N. State, 60602",HS,9,Charter,-87.6277425267,41.8821524844
POINT (-87.65355218924192 41.69577857703619),400171,FOUNDATIONS CHTR,"1233 W. 109th Street, 60643",HS,"6, 7",Charter,-87.6535521889,41.6957785775
POINT (-87.70264475134516 41.80822578510756),400173,PATHWAYS IN EDUCATION - BRIGHTON PARK HS,"3124 W. 47th Street, 60632",HS,"9, 10, 11, 12",ALOP,-87.7026447519,41.8082257859
POINT (-87.55648708348222 41.75974863927389),400175,EXCEL ACADEMY - WOODLAWN,"7530 S South Shore Dr, 60649",HS,9,Contract,-87.5564870838,41.7597486397
POINT (-87.69073009115593 41.76592891992978),400176,EXCEL ACADEMY - SOUTHWEST,"7014 S Washtenaw Ave, 60629",HS,9,Contract,-87.6907300914,41.7659289211
POINT (-87.70928683080125 41.8611741880032),400177,KIPP CHTR - ASCEND PRIMARY,"1440 S. Christiana, 60623",ES,K,Charter,-87.7092868303,41.861174189
